티어,실명,방송국 닉네임,방송국 ID
"갓","김민철","",""
"갓","김성대","",""
"갓","김택용","",""
"갓","도재욱","",""
"갓","박상현","",""
"갓","박성균","",""
"갓","변현제","",""
"갓","윤찬희","",""
"갓","이영호","",""
"갓","임홍규","",""
"갓","장윤철","",""
"갓","정영재","",""
"갓","조기석","",""
"갓","최호선","",""
"킹","구성훈","",""
"킹","김경모","",""
"킹","김윤중","",""
"킹","김윤환","",""
"킹","김태영","",""
"킹","박준오","",""
"킹","방태수","",""
"킹","신상문","",""
"킹","어윤수","",""
"킹","원선재","",""
"킹","유승곤","",""
"킹","윤수철","",""
"킹","윤용태","",""
"킹","이영한","",""
"킹","이예훈","",""
"킹","임진묵","",""
"킹","홍덕","",""
"잭","강민기","",""
"잭","고석현","",""
"잭","권혁진","",""
"잭","김범수","",""
"잭","김병수","",""
"잭","김성민","",""
"잭","김수식","",""
"잭","김영진","",""
"잭","김준혁","",""
"잭","김호성","",""
"잭","민찬기","",""
"잭","박수범","",""
"잭","배성흠","",""
"잭","배호연","",""
"잭","선우도현","",""
"잭","이광용","",""
"잭","이성은","",""
"잭","이창우","",""
"잭","장민철","",""
"잭","정경두","",""
"잭","정민기","",""
"잭","지동원","",""
"조커","김건욱","",""
"조커","김대한","",""
"조커","김동민","",""
"조커","김민우","",""
"조커","김상곤","",""
"조커","김영주","",""
"조커","김학수","",""
"조커","박정일","",""
"조커","박준혁","",""
"조커","박현재","",""
"조커","이예준","",""
"조커","전상욱","",""
"조커","전흥식","",""
"조커","최재성","",""
"조커","허유진","",""
"스페이드","강민","",""
"스페이드","박성준","",""
"스페이드","박종승","",""
"스페이드","유규민","",""
"스페이드","유민","",""
"스페이드","이윤열","",""
"스페이드","장영근","",""
"스페이드","저그맨박성준","",""
"스페이드","전태규","",""
"FA","김기덕","",""
"FA","김명운","",""
"FA","김정우","",""
"FA","김지성","",""
"FA","박재현","",""
"FA","서문지훈","",""
"FA","송병구","",""
"FA","유영진","",""
"FA","윤진규","",""
"FA","이영웅","",""
"FA","이재호","",""
"FA","이제동","",""
"FA","조일장","",""
"FA","황병영","",""
